player_id,nationality,overall,age,hits
1560267168361304384,France,82,25,35
6204714306337241022,Portugal,82,25,35
1784362006411640990,France,82,25,35
-2771680957628183440,Spain,82,25,0
733885476303665922,Italy,82,25,35
-297093695462077628,Germany,82,25,35
326048509472055265,Spain,82,25,15
6227850242257561264,Venezuela,82,25,35
2928750383940110876,Germany,82,25,35
-5657305220598367045,Portugal,82,25,15
-3657039053254703394,France,82,25,15
2212628423461360643,Germany,82,25,35
5875566652916832413,Germany,82,35,0
7105940443140982698,Germany,82,25,35
-2200391852935347348,Brazil,82,25,15
-4905086496125021518,Brazil,82,25,35
7864866960761778571,Portugal,82,25,15
218855588889659750,Spain,82,35,15
2998965123581905777,Germany,82,25,15
-2328474470568508487,Spain,82,25,15
7752446511283992967,Netherlands,82,35,15
-6432584018776490672,Spain,82,25,35
-2818914460403013399,DR Congo,82,25,15
6213706048150847002,Italy,82,25,15
-8953461666683358450,Brazil,82,25,0
-2877415209146761075,Germany,82,35,0
-1048102918900847198,Russia,82,25,15
-854190351543195091,Denmark,82,25,15
-3476181390944555736,Mexico,82,25,35
-2734395967758389879,France,82,25,15
5435612749784106558,Spain,82,35,0
-8600783781388432952,Brazil,82,35,15
6797893641424425976,Serbia,82,35,15
-333945174094184000,Brazil,82,35,15
-6558580788049863846,Uruguay,82,35,15
8428010497131145171,Brazil,82,35,75
406088489048019547,Spain,82,35,35
7167766950247628757,Spain,82,35,0
7093696715201118672,Spain,82,35,15
6095531061455453901,France,82,35,15
-7863348046022911900,Spain,82,35,0
-3175568744984621515,Brazil,82,35,15
6226981317444537051,Brazil,82,35,0
-5651988445398605589,France,82,35,0
2381683173724148043,Colombia,82,35,35
1154777829744459933,France,82,35,35
5048850939338571224,Mexico,82,35,15
-1801736800956207350,Spain,82,35,15
-7415485247038573486,Belgium,82,35,15
-4816819159564629127,Portugal,82,35,15
-3104957440122781552,Spain,82,35,75
1215493788341077646,Ecuador,81,35,0
5265561314549548537,Uruguay,81,25,0
-621302043817686578,Uruguay,81,35,0
3440496684623568047,Uruguay,81,35,0
-8530438266254472285,Spain,81,25,0
-5414947414766931730,Brazil,81,25,35
6594974467467061119,Uruguay,81,25,15
-1891661034522814870,Czech Republic,81,25,15
7630410957276986214,Brazil,81,25,35
-2361554041361135167,Italy,81,25,15
3389177921533826362,France,81,25,75
-4083472693702405992,Brazil,81,25,35
1825297316187201211,Brazil,81,20,35
-8742016251919803256,Brazil,81,35,0
-4968200964899289716,Brazil,81,20,15
-1964633685753147348,England,81,25,35
8143845520443400446,Jamaica,81,25,35
5172773446235574083,Spain,81,25,35
-380724733952950675,France,81,25,35
7072353889690160881,Mali,81,25,15
-1783761473941479795,Spain,81,25,35
3203067679828123061,Spain,81,25,15
-9093974988737386128,Uruguay,81,25,35
4463787184897824329,Netherlands,81,25,0
-5253717974186756438,Spain,81,25,35
-2774687555075107988,Germany,81,25,35
-2792685606023271491,Sweden,81,25,35
-3753393240090204998,Spain,81,35,15
-7317549687176073418,Belgium,81,25,35
7957838434112779254,Argentina,81,35,0
4350327966400579297,Argentina,81,25,35
-1009705153353350534,Argentina,81,25,15
-2849833020579492987,Germany,81,25,35
5388833980322006056,Portugal,81,25,15
7330075249350386896,Italy,81,25,35
-1409131776258071063,Greece,81,25,15
-3035952823923006445,Germany,81,25,15
-3988393761083027022,Spain,81,25,15
1291757264682788696,Italy,81,25,35
-7542669590740324722,Germany,81,25,15
2199274717471488367,Poland,81,25,15
-2728507806701284864,Sweden,81,25,15
8377272006895453639,Argentina,81,25,15
2417201741349091636,Italy,81,25,15
1638834044419887662,Spain,81,25,35
-2771291105457829852,England,81,25,15
8255600171381153117,Spain,81,25,15
91627973758323290,Israel,81,35,0
-7412887304813285175,France,81,25,75
-802755368485538425,Czech Republic,81,35,0
-9014142936663131853,England,81,25,35
-59051429693522673,Italy,81,25,15
4945145354960808838,Spain,81,25,15
-1948465568703723518,France,81,25,15
-7565807156422726064,Spain,81,25,35
-7976415400570354903,Belgium,81,25,35
5302769608329161900,Austria,81,25,0
1286162694765105391,Central African Rep.,81,25,15
-6042613580818017926,Brazil,81,25,35
4750638042992345134,Argentina,81,35,0
-6108849640820284635,France,81,25,15
2267353877165411268,Netherlands,81,25,0
-6408539335791975990,Spain,81,35,15
1860144554348826620,Uruguay,81,25,0
4903616492159324404,Slovenia,81,25,15
797426818371278049,Switzerland,81,25,15
8135052307541243235,Ermenia,81,35,35
